Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LINE280,   0.953428,   -48.19, 1.16433E-010,    17.27, 5.82077E-011,    90.00,          0,     0.00,   0.953428,   -48.19,   0.953428,   131.81, 1.16433E-010,  -162.73, 5.82077E-011,   -90.00,          0,     0.00,   0.953428,   131.81
Line.LINE281, 1.00144E-009,   -54.46, 1.41625E-009,  -170.54, 1.04125E-009,    63.43,          0,     0.00, 3.68138E-010,  -161.57, 1.00144E-009,   125.54, 1.41625E-009,     9.46, 1.04125E-009,  -116.57,          0,     0.00, 3.68138E-010,    18.43
Line.LINE282, 6.87974E-010,   -36.32, 8.92765E-010,    31.44,   0.454603,    71.79,          0,     0.00,   0.454603,    71.79, 6.87974E-010,   143.68, 8.92765E-010,  -148.56,   0.454603,  -108.21,          0,     0.00,   0.454603,  -108.21
Line.LINE283, 5.99287E-010,   -59.54,    0.24062,  -168.23, 6.98492E-010,    90.00,          0,     0.00,    0.24062,  -168.23, 5.99287E-010,   120.46,    0.24062,    11.77, 6.98492E-010,   -90.00,          0,     0.00,    0.24062,    11.77
Line.LINE284,   0.204244,   -48.19, 5.25215E-010,  -168.01, 3.00898E-010,  -104.71,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 5.25215E-010,    11.99, 3.00898E-010,    75.29,          0,     0.00,   0.204244,   131.81
Line.LINE285, 5.74398E-010,   -20.39, 2.50773E-010,  -140.33,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 5.74398E-010,   159.61, 2.50773E-010,    39.67,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE286,    6.29384,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    4.29109,   -72.29,    6.29384,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    4.29109,   107.71
Line.LINE287,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE288,   0.953428,   -48.19, 2.11204E-011,    -8.98, 1.81899E-012,   180.00,          0,     0.00,   0.953428,   -48.19,   0.953428,   131.81, 2.11204E-011,   171.02, 1.81899E-012,     0.00,          0,     0.00,   0.953428,   131.81
Line.LINE289, 4.97326E-010,   159.44, 2.96802E-010,   -11.31, 2.32831E-010,   -90.00,          0,     0.00, 2.09871E-010,  -146.31, 4.97326E-010,   -20.56, 2.96802E-010,   168.69, 2.32831E-010,    90.00,          0,     0.00, 2.09871E-010,    33.69
Line.LINE290, 2.76783E-011,   158.81, 3.9185E-011,   -54.33,   0.236392,    71.79,          0,     0.00,   0.236392,    71.79, 2.76783E-011,   -21.19, 3.9185E-011,   125.67,   0.236392,  -108.21,          0,     0.00,   0.236392,  -108.21
Line.LINE291, 3.71733E-010,   -78.14, 6.20166E-010,    67.95,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 3.71733E-010,   101.86, 6.20166E-010,  -112.05,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE292, 3.54885E-010,   -63.11,    0.24062,  -168.23, 2.39996E-010,    75.96,          0,     0.00,    0.24062,  -168.23, 3.54885E-010,   116.89,    0.24062,    11.77, 2.39996E-010,  -104.04,          0,     0.00,    0.24062,    11.77
Line.LINE293,   0.204244,   -48.19, 4.74685E-010,  -163.87, 3.56745E-010,  -101.77,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 4.74685E-010,    16.13, 3.56745E-010,    78.23,          0,     0.00,   0.204244,   131.81
Line.LINE294, 5.35984E-010,   -35.71, 9.33598E-011,   -53.02,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 5.35984E-010,   144.29, 9.33598E-011,   126.98,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE295,    6.29384,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    4.29109,   -72.29,    6.29384,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    4.29109,   107.71
Line.LINE296,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE297, 8.24636E-011,  -173.03, 1.01994E-010,    46.99,   0.236392,    71.79,          0,     0.00,   0.236392,    71.79, 8.24636E-011,     6.97, 1.01994E-010,  -133.01,   0.236392,  -108.21,          0,     0.00,   0.236392,  -108.21
Line.LINE298, 1.8921E-010,    91.10, 9.26285E-010,    52.50,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 1.8921E-010,   -88.90, 9.26285E-010,  -127.50,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE299, 3.95403E-010,   -25.62,    0.24062,  -168.23, 4.67703E-010,    84.64,          0,     0.00,    0.24062,  -168.23, 3.95403E-010,   154.38,    0.24062,    11.77, 4.67703E-010,   -95.36,          0,     0.00,    0.24062,    11.77
Line.LINE300,   0.204244,   -48.19, 3.23154E-010,  -162.30, 5.87553E-010,   -97.83,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 3.23154E-010,    17.70, 5.87553E-010,    82.17,          0,     0.00,   0.204244,   131.81
Line.LINE301, 6.11539E-010,   -29.25, 5.7448E-011,  -133.92,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 6.11539E-010,   150.75, 5.7448E-011,    46.08,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE302,    6.29384,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    4.29109,   -72.29,    6.29384,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    4.29109,   107.71
Line.LINE303,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE304, 9.61832E-011,   124.65, 1.37989E-010,     6.05,   0.236392,    71.79,          0,     0.00,   0.236392,    71.79, 9.61832E-011,   -55.35, 1.37989E-010,  -173.95,   0.236392,  -108.21,          0,     0.00,   0.236392,  -108.21
Line.LINE305, 4.17608E-010,   161.72, 9.36771E-010,    -3.56,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 4.17608E-010,   -18.28, 9.36771E-010,   176.44,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE306, 5.5306E-011,   -19.70,    0.24062,  -168.23, 5.86606E-011,    82.87,          0,     0.00,    0.24062,  -168.23, 5.5306E-011,   160.30,    0.24062,    11.77, 5.86606E-011,   -97.13,          0,     0.00,    0.24062,    11.77
Line.LINE307,   0.204244,   -48.19, 4.72167E-010,  -164.70, 7.6019E-010,   -95.49,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 4.72167E-010,    15.30, 7.6019E-010,    84.51,          0,     0.00,   0.204244,   131.81
Line.LINE308, 7.3356E-010,   -26.83, 1.45004E-010,  -147.36,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 7.3356E-010,   153.17, 1.45004E-010,    32.64,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE309,    6.29384,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    4.29109,   -72.29,    6.29384,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    4.29109,   107.71
Line.LINE310,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE311, 1.76454E-011,   -27.64, 2.30592E-011,  -122.01,   0.236392,    71.79,          0,     0.00,   0.236392,    71.79, 1.76454E-011,   152.36, 2.30592E-011,    57.99,   0.236392,  -108.21,          0,     0.00,   0.236392,  -108.21
Line.LINE312, 9.70148E-011,   115.84, 1.07329E-010,  -142.40,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 9.70148E-011,   -64.16, 1.07329E-010,    37.60,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE313, 1.9055E-011,  -165.13,    0.24062,  -168.23, 9.09495E-013,   180.00,          0,     0.00,    0.24062,  -168.23, 1.9055E-011,    14.87,    0.24062,    11.77, 9.09495E-013,     0.00,          0,     0.00,    0.24062,    11.77
Line.LINE314,   0.204244,   -48.19, 2.16356E-010,  -150.54, 7.58935E-010,   -94.40,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 2.16356E-010,    29.46, 7.58935E-010,    85.60,          0,     0.00,   0.204244,   131.81
Line.LINE315, 3.98958E-010,   -31.32, 2.99799E-010,  -165.24,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 3.98958E-010,   148.68, 2.99799E-010,    14.76,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
Line.LINE316,   0.476447,   -48.18, 1.84673E-010,    27.26, 8.15565E-010,   -92.30,          0,     0.00,   0.476447,   -48.18,   0.476447,   131.82, 1.84673E-010,  -152.74, 8.15565E-010,    87.70,          0,     0.00,   0.476447,   131.82
Line.LINE317,     5.8174,   -48.16,     3.3884,  -168.25,    1.35934,    71.81,          0,     0.00,    3.86112,   -75.18,     5.8174,   131.84,     3.3884,    11.75,    1.35934,  -108.19,          0,     0.00,    3.86112,   104.82
Line.LINE318,    3.85078,   -48.16,    6.99681,  -168.23,    3.87207,    71.78,          0,     0.00,    3.13168,  -168.62,    3.85078,   131.84,    6.99681,    11.77,    3.87207,  -108.22,          0,     0.00,    3.13168,    11.38
Line.LINE319, 6.74225E-012,    73.97, 9.42368E-012,   -81.59,   0.236392,    71.79,          0,     0.00,   0.236392,    71.79, 6.74225E-012,  -106.03, 9.42368E-012,    98.41,   0.236392,  -108.21,          0,     0.00,   0.236392,  -108.21
Line.LINE320, 7.74555E-011,  -175.29, 3.87499E-011,    60.28,   0.218211,    71.79,          0,     0.00,   0.218211,    71.79, 7.74555E-011,     4.71, 3.87499E-011,  -119.72,   0.218211,  -108.21,          0,     0.00,   0.218211,  -108.21
Line.LINE321,   0.204244,   -48.19, 3.60521E-010,  -160.70, 8.76141E-010,   -94.76,          0,     0.00,   0.204244,   -48.19,   0.204244,   131.81, 3.60521E-010,    19.30, 8.76141E-010,    85.24,          0,     0.00,   0.204244,   131.81
Line.LINE322, 2.7755E-010,    -3.01, 7.41168E-011,    29.40,   0.240928,    71.79,          0,     0.00,   0.240928,    71.79, 2.7755E-010,   176.99, 7.41168E-011,  -150.60,   0.240928,  -108.21,          0,     0.00,   0.240928,  -108.21
